id,nb_of_available_parking_spaces,ferme,parking_id,date
52545,226,f,LPA0729,2024-12-15 19:29:08
52561,144,f,LPA0759,2024-12-15 19:30:08
52560,116,f,LPA0751,2024-12-15 19:30:08
52559,775,f,LPA0749,2024-12-15 19:30:08
52558,1473,f,LPA0739,2024-12-15 19:30:08
52557,337,f,LPA0731,2024-12-15 19:30:08
52556,224,f,LPA0729,2024-12-15 19:30:08
52554,271,f,LPA0765,2024-12-15 19:30:08
52553,187,f,LPA0702,2024-12-15 19:30:08
52552,413,f,LPA0766,2024-12-15 19:30:08
52555,311,f,LPA0724,2024-12-15 19:30:08
52568,1474,f,LPA0739,2024-12-15 19:31:08
52570,172,f,LPA0756,2024-12-15 19:31:08
52569,121,f,LPA0755,2024-12-15 19:31:08
52567,410,f,LPA0737,2024-12-15 19:31:08
52562,461,f,LPA0706,2024-12-15 19:31:08
52565,338,f,LPA0731,2024-12-15 19:31:08
52564,312,f,LPA0724,2024-12-15 19:31:08
52563,270,f,LPA0765,2024-12-15 19:31:08
52566,171,f,LPA0732,2024-12-15 19:31:08
52582,601,f,LPA0768,2024-12-15 19:32:09
52581,170,f,LPA0756,2024-12-15 19:32:09
52580,115,f,LPA0751,2024-12-15 19:32:09
52579,286,f,LPA0746,2024-12-15 19:32:09
52578,1473,f,LPA0739,2024-12-15 19:32:09
52577,409,f,LPA0737,2024-12-15 19:32:09
52575,339,f,LPA0731,2024-12-15 19:32:09
52574,223,f,LPA0729,2024-12-15 19:32:09
52573,63,f,LPA0764,2024-12-15 19:32:09
52572,462,f,LPA0706,2024-12-15 19:32:09
52571,189,f,LPA0702,2024-12-15 19:32:09
52576,170,f,LPA0732,2024-12-15 19:32:09
52589,169,f,LPA0756,2024-12-15 19:33:09
52592,204,f,LPA0776,2024-12-15 19:33:09
52591,602,f,LPA0768,2024-12-15 19:33:09
52590,145,f,LPA0759,2024-12-15 19:33:09
52588,114,f,LPA0751,2024-12-15 19:33:09
52587,1529,f,LPA0750,2024-12-15 19:33:09
52586,1474,f,LPA0739,2024-12-15 19:33:09
52585,340,f,LPA0731,2024-12-15 19:33:09
52584,315,f,LPA0724,2024-12-15 19:33:09
52583,464,f,LPA0706,2024-12-15 19:33:09
52600,1476,f,LPA0739,2024-12-15 19:34:07
52599,341,f,LPA0731,2024-12-15 19:34:07
52598,387,f,LPA0716,2024-12-15 19:34:07
52597,64,f,LPA0764,2024-12-15 19:34:07
52595,468,f,LPA0706,2024-12-15 19:34:07
52594,312,f,LPA0703,2024-12-15 19:34:07
52593,412,f,LPA0766,2024-12-15 19:34:07
52596,272,f,LPA0765,2024-12-15 19:34:07
52607,287,f,LPA0746,2024-12-15 19:35:10
52610,601,f,LPA0768,2024-12-15 19:35:10
52609,170,f,LPA0756,2024-12-15 19:35:10
52608,777,f,LPA0749,2024-12-15 19:35:10
52606,1474,f,LPA0739,2024-12-15 19:35:10
52602,471,f,LPA0706,2024-12-15 19:35:10
52604,65,f,LPA0764,2024-12-15 19:35:10
52603,271,f,LPA0765,2024-12-15 19:35:10
52601,411,f,LPA0766,2024-12-15 19:35:10
52605,314,f,LPA0724,2024-12-15 19:35:10
52618,779,f,LPA0749,2024-12-15 19:36:07
52622,146,f,LPA0759,2024-12-15 19:36:07
52621,973,f,LPA0758,2024-12-15 19:36:07
52620,171,f,LPA0756,2024-12-15 19:36:07
52619,1530,f,LPA0750,2024-12-15 19:36:07
52617,1470,f,LPA0739,2024-12-15 19:36:07
52613,66,f,LPA0764,2024-12-15 19:36:07
52615,342,f,LPA0731,2024-12-15 19:36:07
52614,312,f,LPA0724,2024-12-15 19:36:07
52612,476,f,LPA0706,2024-12-15 19:36:07
52611,187,f,LPA0702,2024-12-15 19:36:07
52616,169,f,LPA0732,2024-12-15 19:36:07
52632,120,f,LPA0755,2024-12-15 19:37:08
52631,288,f,LPA0746,2024-12-15 19:37:08
52630,1466,f,LPA0739,2024-12-15 19:37:08
52629,170,f,LPA0732,2024-12-15 19:37:08
52628,343,f,LPA0731,2024-12-15 19:37:08
52627,224,f,LPA0729,2024-12-15 19:37:08
52625,272,f,LPA0765,2024-12-15 19:37:08
52624,479,f,LPA0706,2024-12-15 19:37:08
